title,agency,location,product_category,estimated_value,bid_deadline,description,website_url,contact_name,contact_email,contact_phone,is_quick_win,status,posted_date
Alabama Facilities Management Department - Janitorial Supply Contract,Alabama Facilities Management Department,"Montgomery, AL",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Alabama Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.al.gov,Facilities Director,facilities@dgs.al.gov,(AL) State Facilities Office,true,open,11/05/2025
Alabama Department of Education - Janitorial Supply Contract,Alabama Department of Education,"Montgomery, AL",Education,"$1,000,000 - $5,000,000",02/03/2026,"Alabama Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.al.gov,Procurement Services,procurement@education.al.gov,(AL) DOE Procurement,true,open,11/05/2025
Alabama University System - Janitorial Supply Contract,Alabama University System,"Montgomery, AL",Education,"$500,000 - $2,000,000",02/03/2026,Alabama government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.alabama.gov,Procurement Office,procurement@al.gov,(AL) State Procurement,true,open,11/05/2025
Alabama Healthcare Network - Janitorial Supply Contract,Alabama Healthcare Network,"Montgomery, AL",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Alabama healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.alabamahealthnetwork.org,Supply Chain Director,procurement@alabamahealth.org,(AL) Healthcare Procurement,true,open,11/05/2025
Alabama Hospitality Group - Janitorial Supply Contract,Alabama Hospitality Group,"Montgomery, AL",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Alabama hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.alabamahospitalitygroup.com,Procurement Manager,purchasing@alabamahotels.com,(AL) Hospitality Purchasing,true,open,11/05/2025
Alabama Commercial Properties - Janitorial Supply Contract,Alabama Commercial Properties,"Montgomery, AL",Real Estate,"$600,000 - $2,000,000",02/03/2026,Alabama commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.alabamaproperties.com,Facilities Management,facilities@alabamaproperties.com,(AL) Property Management,true,open,11/05/2025
Alabama Airport Authority - Janitorial Supply Contract,Alabama Airport Authority,"Montgomery, AL",Airport,"$750,000 - $2,500,000",02/03/2026,"Alabama airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.alabamaairport.com,Facilities Procurement,procurement@alabamaairport.com,(AL) Airport Operations,true,open,11/05/2025
Alabama Correctional Facilities - Janitorial Supply Contract,Alabama Correctional Facilities,"Montgomery, AL",Corrections,"$900,000 - $3,000,000",02/03/2026,Alabama Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.al.gov,Facilities Procurement,procurement@corrections.al.gov,(AL) DOC Procurement,true,open,11/05/2025
Alabama Port Authority - Janitorial Supply Contract,Alabama Port Authority,"Montgomery, AL",Port,"$500,000 - $1,800,000",02/03/2026,"Alabama port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.alabamaport.com,Facilities Director,facilities@alabamaport.com,(AL) Port Operations,true,open,11/05/2025
Alabama Senior Living & Care - Janitorial Supply Contract,Alabama Senior Living & Care,"Montgomery, AL",Senior Care,"$600,000 - $2,000,000",02/03/2026,Alabama assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.alabamaseniorcare.com,Procurement Director,procurement@alabamaseniorcare.com,(AL) Senior Care Purchasing,true,open,11/05/2025
Alabama Retail Chain HQ - Janitorial Supply Contract,Alabama Retail Chain HQ,"Montgomery, AL",Retail,"$1,200,000 - $4,000,000",02/03/2026,Alabama retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.alabamaretail.com,Corporate Procurement,procurement@alabamaretail.com,(AL) Retail Procurement,true,open,11/05/2025
Alabama Manufacturing Plant - Janitorial Supply Contract,Alabama Manufacturing Plant,"Montgomery, AL",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Alabama manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.alabamamanufacturing.com,Operations Manager,operations@alabamamfg.com,(AL) Plant Operations,true,open,11/05/2025
Alaska Facilities Management Department - Janitorial Supply Contract,Alaska Facilities Management Department,"Juneau, AK",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Alaska Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.ak.gov,Facilities Director,facilities@dgs.ak.gov,(AK) State Facilities Office,true,open,11/05/2025
Alaska Department of Education - Janitorial Supply Contract,Alaska Department of Education,"Juneau, AK",Education,"$1,000,000 - $5,000,000",02/03/2026,"Alaska Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.ak.gov,Procurement Services,procurement@education.ak.gov,(AK) DOE Procurement,true,open,11/05/2025
Alaska University System - Janitorial Supply Contract,Alaska University System,"Juneau, AK",Education,"$500,000 - $2,000,000",02/03/2026,Alaska government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.alaska.gov,Procurement Office,procurement@ak.gov,(AK) State Procurement,true,open,11/05/2025
Alaska Healthcare Network - Janitorial Supply Contract,Alaska Healthcare Network,"Juneau, AK",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Alaska healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.alaskahealthnetwork.org,Supply Chain Director,procurement@alaskahealth.org,(AK) Healthcare Procurement,true,open,11/05/2025
Alaska Hospitality Group - Janitorial Supply Contract,Alaska Hospitality Group,"Juneau, AK",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Alaska hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.alaskahospitalitygroup.com,Procurement Manager,purchasing@alaskahotels.com,(AK) Hospitality Purchasing,true,open,11/05/2025
Alaska Commercial Properties - Janitorial Supply Contract,Alaska Commercial Properties,"Juneau, AK",Real Estate,"$600,000 - $2,000,000",02/03/2026,Alaska commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.alaskaproperties.com,Facilities Management,facilities@alaskaproperties.com,(AK) Property Management,true,open,11/05/2025
Alaska Airport Authority - Janitorial Supply Contract,Alaska Airport Authority,"Juneau, AK",Airport,"$750,000 - $2,500,000",02/03/2026,"Alaska airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.alaskaairport.com,Facilities Procurement,procurement@alaskaairport.com,(AK) Airport Operations,true,open,11/05/2025
Alaska Correctional Facilities - Janitorial Supply Contract,Alaska Correctional Facilities,"Juneau, AK",Corrections,"$900,000 - $3,000,000",02/03/2026,Alaska Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.ak.gov,Facilities Procurement,procurement@corrections.ak.gov,(AK) DOC Procurement,true,open,11/05/2025
Alaska Port Authority - Janitorial Supply Contract,Alaska Port Authority,"Juneau, AK",Port,"$500,000 - $1,800,000",02/03/2026,"Alaska port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.alaskaport.com,Facilities Director,facilities@alaskaport.com,(AK) Port Operations,true,open,11/05/2025
Alaska Senior Living & Care - Janitorial Supply Contract,Alaska Senior Living & Care,"Juneau, AK",Senior Care,"$600,000 - $2,000,000",02/03/2026,Alaska assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.alaskaseniorcare.com,Procurement Director,procurement@alaskaseniorcare.com,(AK) Senior Care Purchasing,true,open,11/05/2025
Alaska Retail Chain HQ - Janitorial Supply Contract,Alaska Retail Chain HQ,"Juneau, AK",Retail,"$1,200,000 - $4,000,000",02/03/2026,Alaska retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.alaskaretail.com,Corporate Procurement,procurement@alaskaretail.com,(AK) Retail Procurement,true,open,11/05/2025
Alaska Manufacturing Plant - Janitorial Supply Contract,Alaska Manufacturing Plant,"Juneau, AK",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Alaska manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.alaskamanufacturing.com,Operations Manager,operations@alaskamfg.com,(AK) Plant Operations,true,open,11/05/2025
Arizona Facilities Management Department - Janitorial Supply Contract,Arizona Facilities Management Department,"Phoenix, AZ",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Arizona Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.az.gov,Facilities Director,facilities@dgs.az.gov,(AZ) State Facilities Office,true,open,11/05/2025
Arizona Department of Education - Janitorial Supply Contract,Arizona Department of Education,"Phoenix, AZ",Education,"$1,000,000 - $5,000,000",02/03/2026,"Arizona Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.az.gov,Procurement Services,procurement@education.az.gov,(AZ) DOE Procurement,true,open,11/05/2025
Arizona University System - Janitorial Supply Contract,Arizona University System,"Phoenix, AZ",Education,"$500,000 - $2,000,000",02/03/2026,Arizona government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.arizona.gov,Procurement Office,procurement@az.gov,(AZ) State Procurement,true,open,11/05/2025
Arizona Healthcare Network - Janitorial Supply Contract,Arizona Healthcare Network,"Phoenix, AZ",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Arizona healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.arizonahealthnetwork.org,Supply Chain Director,procurement@arizonahealth.org,(AZ) Healthcare Procurement,true,open,11/05/2025
Arizona Hospitality Group - Janitorial Supply Contract,Arizona Hospitality Group,"Phoenix, AZ",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Arizona hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.arizonahospitalitygroup.com,Procurement Manager,purchasing@arizonahotels.com,(AZ) Hospitality Purchasing,true,open,11/05/2025
Arizona Commercial Properties - Janitorial Supply Contract,Arizona Commercial Properties,"Phoenix, AZ",Real Estate,"$600,000 - $2,000,000",02/03/2026,Arizona commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.arizonaproperties.com,Facilities Management,facilities@arizonaproperties.com,(AZ) Property Management,true,open,11/05/2025
Arizona Airport Authority - Janitorial Supply Contract,Arizona Airport Authority,"Phoenix, AZ",Airport,"$750,000 - $2,500,000",02/03/2026,"Arizona airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.arizonaairport.com,Facilities Procurement,procurement@arizonaairport.com,(AZ) Airport Operations,true,open,11/05/2025
Arizona Correctional Facilities - Janitorial Supply Contract,Arizona Correctional Facilities,"Phoenix, AZ",Corrections,"$900,000 - $3,000,000",02/03/2026,Arizona Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.az.gov,Facilities Procurement,procurement@corrections.az.gov,(AZ) DOC Procurement,true,open,11/05/2025
Arizona Port Authority - Janitorial Supply Contract,Arizona Port Authority,"Phoenix, AZ",Port,"$500,000 - $1,800,000",02/03/2026,"Arizona port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.arizonaport.com,Facilities Director,facilities@arizonaport.com,(AZ) Port Operations,true,open,11/05/2025
Arizona Senior Living & Care - Janitorial Supply Contract,Arizona Senior Living & Care,"Phoenix, AZ",Senior Care,"$600,000 - $2,000,000",02/03/2026,Arizona assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.arizonaseniorcare.com,Procurement Director,procurement@arizonaseniorcare.com,(AZ) Senior Care Purchasing,true,open,11/05/2025
Arizona Retail Chain HQ - Janitorial Supply Contract,Arizona Retail Chain HQ,"Phoenix, AZ",Retail,"$1,200,000 - $4,000,000",02/03/2026,Arizona retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.arizonaretail.com,Corporate Procurement,procurement@arizonaretail.com,(AZ) Retail Procurement,true,open,11/05/2025
Arizona Manufacturing Plant - Janitorial Supply Contract,Arizona Manufacturing Plant,"Phoenix, AZ",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Arizona manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.arizonamanufacturing.com,Operations Manager,operations@arizonamfg.com,(AZ) Plant Operations,true,open,11/05/2025
